sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
P-00151,Decoración Spend 940,Hogar > Decoración,"$ 1,239.89",6.95 kg,Pérez y Collazo S.A.,Relate real major look night various return explain of myself time.,368.0,2020-12-26,0
P-00152,Laptops Indicate 450,Electrónica > Laptops,"$ 999,999.00",22.04 kg,"Grupo Beltrán, Soto y Guevara",West source fact explain research get kind either look dark Mrs usually.,474.0,2020-07-07,0
00153,Televisores Safe 719,Electrónica > Televisores,"$ 2,792.27",28.43 kg,Aparicio-Cazares,Case past only drug prove most point appear including response beyond.,151.0,2019-09-06,1
PROD-00154,Accesorios Moda Spend 826,Moda > Accesorios Moda,"$ 15,938.86",13.37 kg,Olivo-Gaitán,Accept nearly upon imagine various there local current white.,312.0,2020-08-06,1
SKU-00155,Jardín Full 694,Hogar > Jardín,"$ 19,851.44",26.78 kg,Lovato-Alba S.A. de C.V.,Position traditional become off movement rich view tree company think compare.,72.0,2022-11-28,1
PROD-00156,Smartphones Wide 333,Electrónica > Smartphones,"$ 19,696.48",12.78 kg,Cotto S. R.L. de C.V.,,42.0,2019-12-13,0
P-00157,Ropa Hombre Although 600,Moda > Ropa Hombre,"$ 12,483.51",20.61 kg,"Ruelas, Trujillo y Olmos",,120.0,2022-07-11,1
P-00158,Calzado Think 808,Moda > Calzado,$ 809.39,4.81 kg,Pacheco-Carrero,Small control see the face also fear owner up friend lawyer political modern.,115.0,2024-04-30,1
PROD-00159,Televisores Visit 325,Electrónica > Televisores,"$ 4,019.53",26.33 kg,Arroyo y Brito S.A. de C.V.,Surface life cover both class learn either control say.,307.0,2024-03-20,1
SKU-00160,Limpieza Street 484,Hogar > Limpieza,"$ 12,514.86",20.8 kg,Solorio y Orta S.A.,,319.0,2021-07-11,1
00161,Ropa Mujer Find 949,Moda > Ropa Mujer,"$ 7,721.81",25.37 kg,"Laboratorios Alba, Cavazos y Granado",Purpose cover particularly police if into foreign husband believe word local very according himself land.,430.0,2024-03-21,1
P-00162,Audio Example 180,Electrónica > Audio,"$ 16,312.68",14.0 kg,Quiñónez S. R.L. de C.V.,Few reveal activity president realize artist brother fill if maybe time region.,218.0,2023-06-01,1
SKU-00163,Jardín Foreign 469,Hogar > Jardín,"$ 1,042.08",14.75 kg,Roldán-Sotelo,Police wait happen determine whatever long lawyer writer health.,444.0,2022-12-15,1
SKU-00164,Accesorios Moda Science 411,Moda > Accesorios Moda,"$ 17,220.54",9.74 kg,Ayala y Valenzuela y Asociados,Tree serious soon stay seven quite other skin moment month gun true born stock total.,266.0,2021-12-11,0
00165,Televisores Degree 593,Electrónica > Televisores,$ 113.15,28.8 kg,Arellano S.A.,Mr clearly take kind quite response major together knowledge argue car indeed nor next pull.,49.0,2020-08-10,1
P-00166,Laptops Foot 891,Electrónica > Laptops,"$ 1,514.64",28.06 kg,"Industrias Muro, Báez y Toledo",How staff second official and general as.,405.0,2019-08-10,0
SKU-00167,Muebles As 559,Hogar > Muebles,"$ 14,381.07",15.29 kg,Corporacin Jurado-Arteaga,Worry line expert conference career political role white.,264.0,2023-06-01,0
00168,Calzado House 430,Moda > Calzado,$ 929.10,0.79 kg,Grupo Laureano-Sauceda,Large true help bag who themselves card team budget year hotel camera.,38.0,2023-05-03,0
P-00169,Audio Dog 940,Electrónica > Audio,"$ 19,799.56",21.24 kg,"Despacho Zepeda, Orozco y Tapia",Series without leg rest interest here discover.,495.0,2023-06-30,1
00170,Cocina Magazine 279,Hogar > Cocina,"$ 5,226.02",10.43 kg,Narváez-Quezada,Choice country themselves she allow produce past view threat drive attack order.,438.0,2019-05-12,0
P-00171,Jardín Likely 245,Hogar > Jardín,"$ 16,660.98",21.09 kg,Escalante y Tejeda S. R.L. de C.V.,Public the each analysis keep music senior simply cell year doctor trouble office officer significant stand.,143.0,2022-01-29,1
sku_00172,Muebles Economic 415,Hogar > Muebles,"$ 16,422.58",28.38 kg,"Grupo Ortega, Tórrez y Leal",Then worry miss including every news option same compare quickly new.,244.0,2022-05-06,1
PROD-00173,Ropa Mujer Anyone 509,Moda > Ropa Mujer,"$ 19,974.61",11.87 kg,Solís-Ibarra,Walk provide skill five indicate chance heavy senior list support feeling remain.,240.0,2019-03-27,1
PROD-00174,Accesorios Moda Sure 230,Moda > Accesorios Moda,"$ 10,158.65",13.54 kg,Saldivar S. R.L. de C.V.,Trip none whose newspaper care drug data position two suggest begin right couple environmental.,98.0,2023-07-12,1
SKU-00175,Infantil Report 262,Moda > Infantil,"$ 5,505.90",6.09 kg,"Sánchez, Serrato y Mayorga",Owner them could seven right next look thank four whatever address view while bring yourself look.,329.0,2021-02-21,1
PROD-00176,Laptops Eight 131,Electrónica > Laptops,"$ 18,352.34",16.31 kg,Reyna S. R.L. de C.V.,Region however dream focus executive letter possible final growth third letter sort reveal seven floor data.,166.0,2019-06-04,1
00177,Accesorios Moda Form 564,Moda > Accesorios Moda,"$ 13,290.47",14.43 kg,"Romero, Tello y Estévez",,150.0,2023-03-30,1
P-00178,Accesorios Moda Job 716,Moda > Accesorios Moda,"$ 3,470.18",18.97 kg,"Huerta, Montañez y Nieves",None determine certainly end various often individual.,408.0,2023-03-17,1
00179,Smartphones Claim 814,Electrónica > Smartphones,$ 535.91,24.15 kg,Rodrígez-Caballero A.C.,Form here street material pressure range either start whom politics.,479.0,2023-09-03,0
SKU-00180,Cocina Military 650,Hogar > Cocina,"$ 12,823.97",8.58 kg,Martínez y de Anda y Asociados,Collection some college result major true my politics arrive almost suggest war property share.,0.0,2019-03-10,1
00181,Accesorios Itself 637,Electrónica > Accesorios,"$ 16,149.73",8.78 kg,"Matías, Leal y Cazares",Successful discuss religious across media health pay project pattern.,457.0,2023-02-18,1
00182,Calzado Meeting 523,Moda > Calzado,"$ 18,589.00",22.3 kg,Batista S. R.L. de C.V.,Administration mother in admit reveal movie expert maybe recently issue vote conference truth modern.,259.0,2021-06-28,1
sku_00183,Audio Effect 723,Electrónica > Audio,"$ 18,889.28",8.88 kg,Villalpando S.C.,People education great some bad where learn during recently feel.,385.0,2019-06-14,1
SKU-00184,Cocina Their 285,Hogar > Cocina,"$ 1,469.65",14.37 kg,Mena-Lomeli,President teach service behavior here need argue act.,440.0,2020-08-11,1
PROD-00185,Cocina Congress 856,Hogar > Cocina,"$ 7,860.60",9.13 kg,Grupo Padrón-Lerma,Matter its six not teach believe month amount.,171.0,2019-09-19,1
sku_00186,Muebles Development 583,Hogar > Muebles,"$ 23,471.31",13.01 kg,Rosario y Sanches S. R.L. de C.V.,Little another avoid understand tonight nor allow up fire which onto sell require huge baby.,3.0,2023-10-04,1
00187,Ropa Hombre Commercial 996,Moda > Ropa Hombre,"$ 10,894.31",28.78 kg,Mota-Maldonado y Asociados,Drive strong home to forward sense cause write right may window approach join stuff future.,456.0,2023-05-23,1
sku_00188,Infantil Specific 311,Moda > Infantil,"$ 2,797.96",24.12 kg,Despacho Bravo y Sarabia,Western however similar ahead event yeah make green wait it quickly produce beat peace something require.,28.0,2022-06-20,0
sku_00189,Infantil Beautiful 360,Moda > Infantil,"$ 6,377.87",14.06 kg,Proyectos Salcido y Carrasco,Child Republican plant science first blood accept final growth especially car.,31.0,2019-10-13,1
sku_00190,Muebles Culture 716,Hogar > Muebles,"$ 24,042.50",7.7 kg,Proyectos Prieto y Lucio,Large never impact ago government behavior our foot history factor hold be top.,202.0,2021-12-08,1
00191,Ropa Mujer West 442,Moda > Ropa Mujer,"$ 15,094.18",24.0 kg,"Gastélum, Gastélum y Ochoa",Occur college herself catch feeling manage as itself inside machine.,,2019-03-28,1
sku_00192,Cocina Ball 310,Hogar > Cocina,"$ 7,760.84",17.97 kg,"Tamayo, Rico y Castro",Edge east person order crime blood fight we forward per sound forget.,395.0,2019-02-12,0
00193,Limpieza Good 471,Hogar > Limpieza,"$ 18,913.20",20.11 kg,Carmona-Samaniego,Spring teacher wind carry fly water cut fire who why fact reason make.,346.0,2022-10-25,0
00194,Televisores Parent 596,Electrónica > Televisores,"$ 7,049.63",29.98 kg,"Salgado, Godoy y Gamboa",For exactly skill half usually customer young conference should agree.,235.0,2020-01-26,1
00195,Calzado Short 334,Moda > Calzado,"$ 8,900.15",4.72 kg,Laboratorios Olivera-Menéndez,Wall decide something story attorney summer some pull cause field education child institution help.,30.0,2022-06-10,0
sku_00196,Calzado List 228,Moda > Calzado,"$ 11,034.69",24.33 kg,Nava y Moreno S.A. de C.V.,Look husband media turn reality myself so growth time Mr point be shoulder price great positive.,68.0,2020-11-21,1
00197,Limpieza Another 581,Hogar > Limpieza,"$ 2,999.71",1.11 kg,Laboratorios Lira-Pulido,Worker quality hundred sell whole involve action else member million oil offer knowledge hospital sign.,20.0,2019-10-08,1
PROD-00198,Ropa Hombre Per 601,Moda > Ropa Hombre,"$ 21,260.12",10.89 kg,"Proyectos Echeverría, Ordóñez y Rodrígez",Character young lot far turn beat story role give gas six miss give best.,9.0,2021-01-17,1
00199,Cocina Seven 153,Hogar > Cocina,"$ 12,663.24",17.98 kg,Ybarra e Hijos,Five feel special boy support possible quality clearly worker during company civil nice when.,61.0,2024-05-18,1
P-00200,Accesorios Each 444,Electrónica > Accesorios,"$ 999,999.00",20.29 kg,"Olivo, Medina y Menéndez",Picture control price how scene third last involve above Democrat everything region somebody.,341.0,2021-12-09,1
PROD-00201,Televisores Participant 256,Electrónica > Televisores,"$ 22,491.88",23.64 kg,"Arce, Cruz y Borrego",Son Mr hand culture box provide majority whole.,209.0,2020-02-23,1
00202,Ropa Hombre Form 231,Moda > Ropa Hombre,"$ 8,774.24",21.04 kg,Grupo Mascareñas y Rojas,Home hotel box goal leader common purpose song try opportunity public finish draw bring health center.,489.0,2023-03-02,1
sku_00203,Cocina Important 829,Hogar > Cocina,"$ 12,528.04",3.23 kg,"Club Carrillo, Anaya y Segura",Others offer institution main Mr try us community cold eye cost success people.,3.0,2023-05-04,1
P-00204,Laptops Tree 973,Electrónica > Laptops,"$ 21,090.63",14.7 kg,Santacruz-Valladares S. R.L. de C.V.,Weight machine crime himself no president important man report kitchen cold not.,32.0,2023-12-22,1
00205,Limpieza Stuff 448,Hogar > Limpieza,"$ 17,326.28",14.72 kg,"Proyectos Laboy, Cortez y Miramontes",Factor ever Mrs collection leader score she near both box.,385.0,2020-01-21,1
sku_00206,Muebles Stage 601,Hogar > Muebles,"$ 20,816.00",17.87 kg,Proyectos Espinoza y Sandoval,,,2020-10-27,1
SKU-00207,Calzado Of 912,Moda > Calzado,"$ 21,969.55",1.88 kg,"Industrias Cortés, Orellana y de la O",My series service kid despite interesting save president easy themselves allow enjoy.,207.0,2020-06-10,1
P-00208,Jardín Training 111,Hogar > Jardín,"$ 8,731.27",22.01 kg,Lucero S.A. de C.V.,Keep yes simply down specific onto go represent.,378.0,2019-01-16,0
00209,Muebles Project 185,Hogar > Muebles,"$ 8,861.37",3.91 kg,Maestas-Sotelo,,107.0,2023-05-23,1
00210,Laptops Later 392,Electrónica > Laptops,"$ 24,593.05",20.3 kg,"Industrias Loera, Quesada y Camacho",Pattern size spend south now mother others collection without.,394.0,2021-01-25,1
PROD-00211,Decoración Final 705,Hogar > Decoración,"$ 6,531.28",1.23 kg,Gonzales S. R.L. de C.V.,Of weight method too spring career seek in arrive everyone pretty.,333.0,2020-12-13,1
PROD-00212,Ropa Hombre Science 193,Moda > Ropa Hombre,"$ 6,881.13",6.32 kg,Despacho Samaniego-Cantú,Economic represent stock seven put majority officer environmental increase.,490.0,2022-02-27,1
SKU-00213,Audio Live 407,Electrónica > Audio,"$ 7,468.42",10.7 kg,Garrido-Feliciano S.C.,Plant they behavior middle everything view hard wear.,83.0,2019-05-13,1
00214,Ropa Mujer Generation 224,Moda > Ropa Mujer,"$ 1,634.65",17.41 kg,Acevedo-Quintana,Able similar run room learn professional group as move design involve deep environmental stock front official.,327.0,2019-10-30,1
00215,Calzado Others 414,Moda > Calzado,"$ 3,497.98",23.67 kg,Rivero S.A. de C.V.,Small thus several animal phone student administration upon citizen lead yeah into yet travel.,75.0,2024-04-21,1
00216,Limpieza Us 517,Hogar > Limpieza,"$ 21,747.76",10.85 kg,"Urías, Abreu y Durán",City usually ever pressure economy head tough close how figure record.,97.0,2019-11-10,1
P-00217,Accesorios East 357,Electrónica > Accesorios,"$ 8,161.29",15.97 kg,Velásquez y Miranda S. R.L. de C.V.,Pretty region ability live car difficult quite act receive stage write institution car.,335.0,2019-09-04,1
00218,Laptops Avoid 623,Electrónica > Laptops,"$ 6,929.06",19.8 kg,Grupo de la Rosa-Ortega,Him room bill finish thing case similar send card year.,404.0,2019-12-12,1
P-00219,Calzado Character 513,Moda > Calzado,"$ 7,891.64",26.47 kg,Corporacin Salcido y Pelayo,Most across practice key reveal physical character in.,96.0,2023-08-17,0
sku_00220,Televisores Right 849,Electrónica > Televisores,"$ 1,947.50",9.05 kg,Mesa y Escalante S.C.,Team beautiful beyond sell operation himself white fire cause everybody base network outside.,269.0,2021-12-11,0
SKU-00221,Infantil Political 172,Moda > Infantil,"$ 5,449.76",22.82 kg,"Heredia, del Río y Concepción",Single real summer probably feeling military meeting security far approach today.,262.0,2019-01-09,1
P-00222,Accesorios Education 934,Electrónica > Accesorios,"$ 1,275.09",9.08 kg,Matías-Noriega,History drop point audience thousand activity guess first hit stuff inside national common likely.,139.0,2023-03-17,0
PROD-00223,Muebles Speech 445,Hogar > Muebles,"$ 13,521.93",29.15 kg,Becerra y Viera A.C.,Admit attack energy always art smile media pick.,477.0,2024-05-26,1
00224,Jardín More 594,Hogar > Jardín,"$ 14,715.20",9.53 kg,"Club Jimínez, Solano y Ledesma",Interest I policy Mrs check base bad TV window choice force only shake.,261.0,2022-03-08,1
00225,Televisores Rate 110,Electrónica > Televisores,"$ 18,601.46",22.54 kg,"Club Hernández, Palomo y Quesada",Financial join well draw each under break partner.,6.0,2024-01-22,0
sku_00226,Audio Around 917,Electrónica > Audio,"$ 12,603.07",6.96 kg,Carranza-Ochoa e Hijos,Program price compare actually case activity market get military state else.,187.0,2023-07-30,0
SKU-00227,Infantil Hot 470,Moda > Infantil,"$ 12,934.40",1.1 kg,Vigil e Hijos,Seek them run brother tonight friend investment model enjoy.,196.0,2022-02-04,1
SKU-00228,Decoración Part 109,Hogar > Decoración,"$ 7,346.61",15.46 kg,Linares-Narváez,,472.0,2019-04-22,1
sku_00229,Accesorios Product 646,Electrónica > Accesorios,"$ 5,969.55",12.47 kg,Coronado S. R.L. de C.V.,Many member area teacher cold church significant thus.,414.0,2023-04-25,1
sku_00230,Televisores Represent 970,Electrónica > Televisores,"$ 19,347.17",3.63 kg,Laboratorios Camarillo-Ramón,Direction meeting analysis television each line him change.,288.0,2024-04-09,0
00231,Jardín Word 648,Hogar > Jardín,$ 655.45,18.26 kg,"Proyectos Orosco, Dueñas y Loera",Need trial scientist information focus indicate result.,279.0,2020-04-02,1
00232,Accesorios Moda Experience 457,Moda > Accesorios Moda,"$ 20,164.57",20.21 kg,Corporacin Velázquez y Duarte,Number budget pull apply development middle animal husband.,181.0,2020-10-12,1
SKU-00233,Audio Understand 981,Electrónica > Audio,"$ 23,639.25",25.64 kg,Corporacin Villegas-Cavazos,Tend similar financial beat lead hard factor six science drug happy will young simply.,240.0,2020-12-31,1
P-00234,Cocina Significant 275,Hogar > Cocina,"$ 14,092.64",24.11 kg,Proyectos Garay-Carrión,Set early according improve do get style theory week ability price support road billion morning.,213.0,2019-05-10,1
PROD-00235,Jardín Economy 128,Hogar > Jardín,,3.51 kg,Corporacin Tafoya-Armenta,Man art young Republican behavior TV today mind red head window be believe.,104.0,2021-01-13,0
PROD-00236,Ropa Mujer Cell 348,Moda > Ropa Mujer,"$ 24,751.34",4.71 kg,Club Reyna y Hernandes,Avoid nothing itself who door end fire song red save fish evening avoid.,454.0,2023-08-04,0
PROD-00237,Muebles Degree 663,Hogar > Muebles,"$ 1,959.67",29.83 kg,Despacho Alonzo-Matías,Sister once choice clearly letter image movie who debate.,390.0,2019-02-27,1
PROD-00238,Televisores Foot 190,Electrónica > Televisores,"$ 17,403.19",10.06 kg,"Ramírez, Vallejo y Reynoso",Enter build citizen rather step recent American structure foreign before eat green message quality.,151.0,2022-11-16,1
00239,Smartphones Ever 725,Electrónica > Smartphones,"$ 22,526.61",12.64 kg,"Franco, Reséndez y Acuña",All identify laugh security economic left sound cause activity.,450.0,2022-11-15,1
P-00240,Audio Then 129,Electrónica > Audio,"$ 10,356.29",13.43 kg,Zelaya-Tamez,Candidate statement head piece popular old else spend against ask.,319.0,2020-12-23,1
PROD-00241,Accesorios Moda Weight 369,Moda > Accesorios Moda,"$ 7,277.41",10.34 kg,Castillo-Concepción S.C.,Speak begin suggest speak business walk anything under item right many him interview.,336.0,2021-07-22,1
SKU-00242,Televisores Health 287,Electrónica > Televisores,"$ 3,556.71",10.65 kg,Despacho Madera-Nevárez,Traditional every land chance pass pay positive material third look.,134.0,2023-09-14,1
